path	baseline_path	kind	classification	cmake_selection	current_sha256	baseline_sha256	canonical_current_sha256	canonical_baseline_sha256	disposition
src/core/softpc/base/ccpu386/push.c	base/ccpu386/push.c	source-or-header	identical-original	ccpu-manifest	945a609da6d72f7b790c724eb4df8f12d7fe9ca2d390e55f9cfa19863150e50f	945a609da6d72f7b790c724eb4df8f12d7fe9ca2d390e55f9cfa19863150e50f	fc2df2bdc1eee396cb0485e23665ba80dd105fbecf09e44f67a52c5e308d6631	fc2df2bdc1eee396cb0485e23665ba80dd105fbecf09e44f67a52c5e308d6631	retain-pristine
src/core/softpc/base/ccpu386/push.h	base/ccpu386/push.h	source-or-header	identical-original	not-directly-selected	b0df05db109c8b2ec8aeb2ff0803a37783ffb51dd596a5c6c25c8e6c53eb7e56	b0df05db109c8b2ec8aeb2ff0803a37783ffb51dd596a5c6c25c8e6c53eb7e56	d114812a47f10687324b35ef80c0aba45f04cd25b54b9ede75cf1443fcac0996	d114812a47f10687324b35ef80c0aba45f04cd25b54b9ede75cf1443fcac0996	retain-pristine
src/core/softpc/base/ccpu386/pusha.c	base/ccpu386/pusha.c	source-or-header	identical-original	ccpu-manifest	8525fee9d4ccb878b6fd09c474f986102b67beaddd2ba55b73f20bf5bd095716	8525fee9d4ccb878b6fd09c474f986102b67beaddd2ba55b73f20bf5bd095716	d86c10a95fe945a19a76567607bb3b5881b2fbfe72bed429873a585b6195c80a	d86c10a95fe945a19a76567607bb3b5881b2fbfe72bed429873a585b6195c80a	retain-pristine
src/core/softpc/base/ccpu386/pusha.h	base/ccpu386/pusha.h	source-or-header	identical-original	not-directly-selected	a7ba56279ed2ec7357e9bd565578dfd56731a7ad4d20c29eb20e767565843936	a7ba56279ed2ec7357e9bd565578dfd56731a7ad4d20c29eb20e767565843936	64ab30ae5326538207b265feecef10382c0ffab96f3fd9ac7f40b87996161966	64ab30ae5326538207b265feecef10382c0ffab96f3fd9ac7f40b87996161966	retain-pristine
src/core/softpc/base/ccpu386/pushf.c	base/ccpu386/pushf.c	source-or-header	identical-original	ccpu-manifest	6012d65695cc0a05229d9591f0675fd45227f27a547560f7c7a177448ed28304	6012d65695cc0a05229d9591f0675fd45227f27a547560f7c7a177448ed28304	a2c02cb87844bdd0613a59defbe9d1351beeef05ec755c4131dc72e52e20e52d	a2c02cb87844bdd0613a59defbe9d1351beeef05ec755c4131dc72e52e20e52d	retain-pristine
src/core/softpc/base/ccpu386/pushf.h	base/ccpu386/pushf.h	source-or-header	identical-original	not-directly-selected	5473c0c6dc7d862aeb3ba27298f10eaa42abbca8607b3fc84fd4907d91dddb78	5473c0c6dc7d862aeb3ba27298f10eaa42abbca8607b3fc84fd4907d91dddb78	3e34cf34b1efb126730cabff48849e44964a20c368e7ded083519d367c7cc1d9	3e34cf34b1efb126730cabff48849e44964a20c368e7ded083519d367c7cc1d9	retain-pristine
src/core/softpc/base/ccpu386/rcl.c	base/ccpu386/rcl.c	source-or-header	identical-original	ccpu-manifest	6c6b3036663637c364e94cd1be954420de6afde0accc603e1bfcd29d7f9f5bec	6c6b3036663637c364e94cd1be954420de6afde0accc603e1bfcd29d7f9f5bec	ff70e316df9641b50ca3c14788559419ad23d5672decf17cc142ac09f7b64497	ff70e316df9641b50ca3c14788559419ad23d5672decf17cc142ac09f7b64497	retain-pristine
src/core/softpc/base/ccpu386/rcl.h	base/ccpu386/rcl.h	source-or-header	identical-original	not-directly-selected	93c1dc90b42911df418607e08326e57c0f08d36f141d0aa8efefec53ce9030af	93c1dc90b42911df418607e08326e57c0f08d36f141d0aa8efefec53ce9030af	d3bd172e9112171d42eb396e57533991ca41f0f2e4b1e0c2051b7407fb179f58	d3bd172e9112171d42eb396e57533991ca41f0f2e4b1e0c2051b7407fb179f58	retain-pristine
src/core/softpc/base/ccpu386/rcr.c	base/ccpu386/rcr.c	source-or-header	identical-original	ccpu-manifest	901161d1296699b11d15e7eb50d03d072300721de4e6d90c15c9cbe04a9bce21	901161d1296699b11d15e7eb50d03d072300721de4e6d90c15c9cbe04a9bce21	4bf9a4e3923ece36d443c82a42b3757b3172014efe258d821d7430718c9c9095	4bf9a4e3923ece36d443c82a42b3757b3172014efe258d821d7430718c9c9095	retain-pristine
src/core/softpc/base/ccpu386/rcr.h	base/ccpu386/rcr.h	source-or-header	identical-original	not-directly-selected	f07d9be8794d6bdf8f77b914f682ce2d726dab1cb43438a1b83d1d0a2c67bc39	f07d9be8794d6bdf8f77b914f682ce2d726dab1cb43438a1b83d1d0a2c67bc39	cd370a41af05422f0762854e542607894ed6ffe96eaee7b5f6ebc6886e77de71	cd370a41af05422f0762854e542607894ed6ffe96eaee7b5f6ebc6886e77de71	retain-pristine
